date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:29	214696/214696	---M--	200	added ('OK')	application/pdf	etag:%22e3e6bd-346a8-42d57f2dfcac0%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/corr01.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/corr01.pdf	(from )
13:45:30	959/959	---M--	404	error ('Not%20Found')	text/html	etag:%22d1a06f-3bf-42cd0b710e4c0%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/sujet06a.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/sujet06a.17.delayed	(from )
13:45:37	76969/76969	---M--	200	added ('OK')	application/pdf	etag:%22e4006a-12ca9-45ffc4f2402c0%22	http://www.faidherbe.org/~jdebarbieux/a2007/pdf/corr10b.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2007/pdf/corr10b.pdf	(from )
13:45:38	121413/121413	---M--	200	added ('OK')	application/pdf	etag:%22e40064-1da45-45ffc5a1ba0c0%22	http://www.faidherbe.org/~jdebarbieux/a2007/pdf/sujet10b.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2007/pdf/sujet10b.pdf	(from )
13:45:53	92664/92664	---M--	200	added ('OK')	application/pdf	etag:%22e3e6a9-169f8-42d5808367040%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/sujet25.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/sujet25.pdf	(from )
13:45:59	124607/124607	---M--	200	added ('OK')	application/pdf	etag:%22e3e6a8-1e6bf-42d57fdb8e440%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/corr25.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/corr25.pdf	(from )
13:46:00	37336/37336	---M--	200	added ('OK')	application/pdf	etag:%22e3e5e6-91d8-42d58347fb800%22	http://www.faidherbe.org/~jdebarbieux/a2004/pdf/sujet00.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2004/pdf/sujet00.pdf	(from )
13:46:02	206063/206063	---M--	200	added ('OK')	application/pdf	etag:%22e3e6bb-324ef-42d57f43ebe80%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/corr06a.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/corr06a.pdf	(from )
13:46:03	582721/582721	---M--	200	added ('OK')	application/pdf	etag:%22e4005e-8e441-45ffc57aa0480%22	http://www.faidherbe.org/~jdebarbieux/a2007/pdf/sujet02c.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2007/pdf/sujet02c.pdf	(from )
13:46:09	60320/60320	---M--	200	added ('OK')	application/pdf	etag:%22e40098-eba0-47fb5075a2900%22	http://www.faidherbe.org/~jdebarbieux/a2009/devoirs/pb17_s.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2009/devoirs/pb17_s.pdf	(from )
13:46:12	51927/51927	---M--	200	added ('OK')	application/pdf	etag:%22e4007c-cad7-47fb5071d2000%22	http://www.faidherbe.org/~jdebarbieux/a2009/devoirs/pb17_c.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2009/devoirs/pb17_c.pdf	(from )
13:46:13	92326/92326	---M--	200	added ('OK')	application/pdf	etag:%22e3e5de-168a6-42d582ea85b80%22	http://www.faidherbe.org/~jdebarbieux/a2004/pdf/corr00.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2004/pdf/corr00.pdf	(from )
13:46:33	182501/182501	---M--	200	added ('OK')	application/pdf	etag:%22e4003e-2c8e5-495e3875d5c00%22	http://www.faidherbe.org/~jdebarbieux/a2010/ptpb09_suj.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2010/ptpb09_suj.pdf	(from )
13:46:39	164638/164638	---M--	200	added ('OK')	application/pdf	etag:%22e3e6c2-2831e-42d5808737940%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/sujet22.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/sujet22.pdf	(from )
13:46:42	176662/176662	---M--	200	added ('OK')	application/pdf	etag:%22e3e6b9-2b216-42d57fd3ed240%22	http://www.faidherbe.org/~jdebarbieux/a2001/pdf/corr22.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2001/pdf/corr22.pdf	(from )
13:46:42	207114/207114	---M--	200	added ('OK')	application/pdf	etag:%22e4000a-3290a-495e386b58340%22	http://www.faidherbe.org/~jdebarbieux/a2010/ptpb09_cor.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2010/ptpb09_cor.pdf	(from )
13:46:44	64865/64865	---M--	200	added ('OK')	application/pdf	etag:%22e40068-fd61-45ffc617fb7c0%22	http://www.faidherbe.org/~jdebarbieux/a2007/pdf/sujet_08.pdf	C:/My%20Web%20Sites/Problemes%20Classique/www.faidherbe.org/_jdebarbieux/a2007/pdf/sujet_08.pdf	(from )
